date,title,description,url,source,ticker,match_confidence,text_clean,text_tokenized
2025-07-09,"Lần đầu Hòa Phát bán thép cuộn cán nóng (HRC) vượt 1,1 triệu tấn trong một quý","Lũy kế 6 tháng đầu năm, bán hàng HRC, thép xây dựng, thép chất lượng cao và phôi thép đạt 5 triệu tấn, tăng 23% so với nửa đầu năm ngoái.",https://cafef.vn/lan-dau-hoa-phat-ban-thep-cuon-can-nong-hrc-vuot-11-trieu-tan-trong-mot-quy-18825070910243464.chn,cafef,HPG,partial,"lần đầu hòa phát bán thép cuộn cán nóng hrc vượt 1,1 triệu tấn trong một quý lũy kế 6 tháng đầu năm, bán hàng hrc, thép xây dựng, thép chất lượng cao và phôi thép đạt 5 triệu tấn, tăng 23% so với nửa đầu năm ngoái.","lần đầu hòa phát bán thép cuộn cán nóng hrc vượt 1,1 triệu tấn trong một quý lũy_kế 6 tháng đầu năm , bán hàng hrc , thép xây_dựng , thép chất_lượng cao và phôi thép đạt 5 triệu tấn , tăng 23 % so với nửa đầu ."
2025-07-09,Hòa Phát bán 5 triệu tấn thép trong nửa năm,,https://vietnambiz.vn/hoa-phat-ban-5-trieu-tan-thep-trong-nua-nam-202579135450760.htm,vietnambiz,HPG,partial,hòa phát bán 5 triệu tấn thép trong nửa năm,hòa phát bán 5 triệu tấn thép trong nửa năm
2025-07-09,VCB: HĐQT phê duyệt giới hạn tín dụng đối với Mizuho Bank Ltd,Ngân hàng Thương mại Cổ phần Ngoại Thương Việt Nam thông báo HĐQT phê duyệt giới hạn tín dụng đối với Mizuho Bank Ltd,https://cafef.vn/du-lieu/VCB-2241268/vcb-hdqt-phe-duyet-gioi-han-tin-dung-doi-voi-mizuho-bank-ltd.chn,cafef,VCB,exact,vcb hđqt phê duyệt giới hạn tín dụng đối với mizuho bank ltd ngân hàng thương mại cổ phần ngoại thương việt nam thông báo hđqt phê duyệt giới hạn tín dụng đối với mizuho bank ltd,vcb hđqt phê_duyệt giới_hạn tín_dụng đối_với mizuho_bank ltd ngân_hàng thương_mại cổ_phần ngoại_thương việt_nam thông_báo hđqt phê_duyệt giới_hạn tín_dụng đối_với mizuho_bank ltd
2025-07-09,BCM: Nghị quyết HĐQT gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP công bố Nghị quyết HĐQT về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,https://cafef.vn/du-lieu/BCM-2244380/bcm-nghi-quyet-hdqt-gia-han-thoi-gian-lay-y-kien-co-dong-bang-van-ban-lan-1-nam-2025.chn,cafef,BCM,partial,bcm nghị quyết hđqt gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025 tổng công ty đầu tư và phát triển công nghiệp ctcp công bố nghị quyết hđqt về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,bcm nghị_quyết hđqt gia_hạn lấy ý_kiến cổ_đông bằng văn_bản lần 1 năm 2025 tổng_công_ty đầu_tư và phát_triển công_nghiệp ctcp công_bố nghị_quyết hđqt về việc gia_hạn lấy ý_kiến cổ_đông bằng văn_bản lần 1 năm 2025
2025-07-09,BCM: Thông báo về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP thông báo về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,https://cafef.vn/du-lieu/BCM-2244381/bcm-thong-bao-ve-viec-gia-han-thoi-gian-lay-y-kien-co-dong-bang-van-ban-lan-1-nam-2025.chn,cafef,BCM,partial,bcm thông báo về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025 tổng công ty đầu tư và phát triển công nghiệp ctcp thông báo về việc gia hạn thời gian lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,bcm thông_báo về việc gia_hạn lấy ý_kiến cổ_đông bằng văn_bản lần 1 năm 2025 tổng_công_ty đầu_tư và phát_triển công_nghiệp ctcp thông_báo về việc gia_hạn lấy ý_kiến cổ_đông bằng văn_bản lần 1 năm 2025
2025-07-10,Đề xuất doanh nghiệp nhà nước được quyết dự án dưới 5.000 tỷ đồng,,https://vietnambiz.vn/de-xuat-doanh-nghiep-nha-nuoc-duoc-quyet-du-an-duoi-5000-ty-dong-202571063435611.htm,vietnambiz,UNKNOWN,none,đề xuất doanh nghiệp nhà nước được quyết dự án dưới 5.000 tỷ đồng,đề_xuất nhà_nước được quyết dự_án dưới 5.000 tỷ đồng
2025-07-10,Doanh nghiệp Việt được đề nghị tăng đầu tư vào Lào,,https://vietnambiz.vn/doanh-nghiep-viet-duoc-de-nghi-tang-dau-tu-vao-lao-20257106342590.htm,vietnambiz,UNKNOWN,none,doanh nghiệp việt được đề nghị tăng đầu tư vào lào,việt được đề_nghị tăng đầu_tư vào lào
2025-07-10,Petrolimex nói không bị ảnh hưởng bởi vụ việc của ông Đào Nam Hải,,https://vietnambiz.vn/petrolimex-noi-khong-bi-anh-huong-boi-vu-viec-cua-ong-dao-nam-hai-202571071610987.htm,vietnambiz,PLX,partial,petrolimex nói không bị ảnh hưởng bởi vụ việc của ông đào nam hải,petrolimex nói không bị ảnh_hưởng bởi vụ_việc của ông đào nam hải
2025-07-10,"Bamboo Airways kiện toàn HĐQT, sẵn sàng cho chu kỳ tăng trưởng mới",,https://vietnambiz.vn/bamboo-airways-kien-toan-hdqt-san-sang-cho-chu-ky-tang-truong-moi-202571074415671.htm,vietnambiz,UNKNOWN,none,"bamboo airways kiện toàn hđqt, sẵn sàng cho chu kỳ tăng trưởng mới","bamboo airways kiện_toàn hđqt , sẵn_sàng cho chu_kỳ tăng_trưởng mới"
2025-07-10,Giá bitcoin vượt mốc 112.000 USD nhờ hiệu ứng từ Nvidia,,https://vietnambiz.vn/gia-bitcoin-vuot-moc-112000-usd-nho-hieu-ung-tu-nvidia-202571075433363.htm,vietnambiz,UNKNOWN,none,giá bitcoin vượt mốc 112.000 usd nhờ hiệu ứng từ nvidia,giá bitcoin vượt mốc 112.000 usd nhờ hiệu_ứng từ nvidia
