date,title,description,url,source,ticker,match_confidence
2025-10-27,ACB: Tờ trình ĐHĐCĐ về việc thành lập công ty con,Ngân hàng Thương mại Cổ phần Á Châu công bố Tờ trình ĐHĐCĐ về việc thành lập công ty con,https://cafef.vn/du-lieu/ACB-2326277/acb-to-trinh-dhdcd-ve-viec-thanh-lap-cong-ty-con.chn,cafef,ACB,partial
2025-10-27,ACB: Phiếu lấy ý kiến cổ đông bằng văn bản,Ngân hàng Thương mại Cổ phần Á Châu công bố Phiếu lấy ý kiến cổ đông bằng văn bản,https://cafef.vn/du-lieu/ACB-2326731/acb-phieu-lay-y-kien-co-dong-bang-van-ban.chn,cafef,ACB,partial
2025-10-27,ACB: Dự thảo Nghị quyết ĐHĐCĐ thành lập công ty con,Ngân hàng Thương mại Cổ phần Á Châu công bố Dự thảo Nghị quyết ĐHĐCĐ thành lập công ty con,https://cafef.vn/du-lieu/ACB-2326732/acb-du-thao-nghi-quyet-dhdcd-thanh-lap-cong-ty-con.chn,cafef,ACB,partial
2025-10-22,ACB: Giải trình chênh lệch LNST quý 3/2025 so với cùng kỳ năm trước,Ngân hàng Thương mại Cổ phần Á Châu giải trình chênh lệch LNST quý 3/2025 so với cùng kỳ năm trước,https://cafef.vn/du-lieu/ACB-2323379/acb-giai-trinh-chenh-lech-lnst-quy-32025-so-voi-cung-ky-nam-truoc.chn,cafef,ACB,partial
2025-10-07,"ACB: 13.10.2025, ngày GDKHQ lấy ý kiến cổ đông bằng văn bản",Sở Giao dịch Chứng khoán Thành phố Hồ Chí Minh thông báo ngày ĐKCC lấy ý kiến cổ đông bằng văn bản của Ngân hàng Thương mại Cổ phần Á Châu,https://cafef.vn/du-lieu/ACB-2312535/acb-13102025-ngay-gdkhq-lay-y-kien-co-dong-bang-van-ban.chn,cafef,ACB,partial
2025-10-03,ACB: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,Ngân hàng Thương mại Cổ phần Á Châu thông báo về ngày đăng ký cuối cùng để thực hiện quyền lấy ý kiến cổ đông bằng văn bản,https://cafef.vn/du-lieu/ACB-2310960/acb-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-lay-y-kien-co-dong-bang-van-ban.chn,cafef,ACB,partial
2025-09-30,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 3.2025,Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 3.2025,https://cafef.vn/du-lieu/ACB-2307596/acb-nghi-quyet-hdqt-ve-phuong-an-phat-hanh-trai-phieu-rieng-le-lan-32025.chn,cafef,ACB,partial
2025-09-09,"ACB: Nghị quyết HĐQT về các hợp đồng, giao dịch với Các bên liên quan","Ngân hàng Thương mại Cổ phần Á Châu công bố Nghị quyết HĐQT số 4614.25, 4615.25, 4616.25, 4617.25 ngày 08/09/2025",https://cafef.vn/du-lieu/ACB-2291994/acb-nghi-quyet-hdqt-ve-cac-hop-dong-giao-dich-voi-cac-ben-lien-quan.chn,cafef,ACB,partial
2025-08-18,ACB: Thông báo ký hợp đồng kiểm toán BCTC 2025,Ngân hàng Thương mại Cổ phần Á Châu thông báo ký hợp đồng kiểm toán BCTC 2025,https://cafef.vn/du-lieu/ACB-2277510/acb-thong-bao-ky-hop-dong-kiem-toan-bctc-2025.chn,cafef,ACB,partial
2025-07-31,ACB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,Ngân hàng Thương mại Cổ phần Á Châu Báo cáo tình hình quản trị 6 tháng đầu năm 2025,https://cafef.vn/du-lieu/ACB-2294706/acb-bao-cao-tinh-hinh-quan-tri-6-thang-dau-nam-2025.chn,cafef,ACB,partial
