variant,model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,ticker,n_train,n_test,n_features,train_start,train_end,test_start,test_end
vn30_direct_material_lag1,LightGBM,Config_Hybrid,0.5027027027027027,0.5375886524822695,0.4301929625425653,0.5015806309797888,0.526310791236188,0.5071883180059765,60d,ALL,26700,6660,167,2021-10-13,2025-05-12,2025-05-13,2026-03-31
vn30_material,Logistic_Regression,Config_A,0.4938218390804598,0.4888945621649221,0.5573341094295693,0.4922028015278847,0.5034795495118125,0.494614841320914,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Random_Forest,Config_A,0.5120689655172413,0.5060753341433779,0.4848661233993015,0.5115262168693184,0.5213571267173112,0.5117293159561774,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,XGBoost,Config_A,0.5100574712643678,0.5039346246973365,0.4845750873108265,0.5095674598910591,0.5151797948938858,0.5097393030197719,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,LightGBM,Config_A,0.5133620689655173,0.507359567437669,0.4915599534342258,0.5129797747377131,0.5159402133912279,0.5130898518589971,10d,ALL,27900,6960,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Logistic_Regression,Config_LLM,0.4875,0.4882847433375067,0.7945285215366705,0.4379257486074374,0.4933450683753116,0.4913335002689027,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Random_Forest,Config_LLM,0.5056034482758621,0.4991652754590985,0.4350989522700815,0.5027307868884108,0.5038689465484639,0.5047231424233495,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,XGBoost,Config_LLM,0.5048850574712643,0.4983108108108108,0.429278230500582,0.5016123514197969,0.5048068029107573,0.5039410448757167,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,LightGBM,Config_LLM,0.5080459770114942,0.5023659305993691,0.3707799767171129,0.4979287673966516,0.5018926017370989,0.506332099595787,10d,ALL,27900,6960,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Logistic_Regression,Config_Hybrid,0.5099137931034483,0.5034501794093292,0.5308498253783469,0.5098146158064456,0.521662285158547,0.5101751964576184,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Random_Forest,Config_Hybrid,0.5204022988505748,0.5147768395657418,0.4967986030267753,0.5199735792569398,0.5243966534483646,0.5201075875519802,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,XGBoost,Config_Hybrid,0.5067528735632184,0.5004715498270984,0.4633294528521536,0.5055520191219464,0.5106385087324041,0.5062106969141585,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,LightGBM,Config_Hybrid,0.5204022988505748,0.5147147147147147,0.4988358556461001,0.5200293926340414,0.526743235145267,0.5201330243043214,10d,ALL,27900,6960,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12
vn30_material,Logistic_Regression,Config_A,0.5153846153846153,0.4692373121633116,0.5196232339089482,0.5144499391040488,0.5250231385303094,0.5157438203443045,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Random_Forest,Config_A,0.5401709401709401,0.4894348894348894,0.3127158555729984,0.5078114004222378,0.5268043857799865,0.520895085543996,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,XGBoost,Config_A,0.5076923076923077,0.45949177877429,0.482574568288854,0.5052819823696022,0.5156066060964553,0.5055636857089642,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,LightGBM,Config_A,0.5235042735042735,0.4757281553398058,0.4923076923076923,0.5206785466851225,0.5305988182054489,0.5208604954367666,1d,ALL,28110,7020,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Logistic_Regression,Config_LLM,0.5303418803418803,0.45900439238653,0.1968602825745682,0.4640444443425559,0.5075505087201866,0.5020807279887183,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Random_Forest,Config_LLM,0.5121082621082621,0.4629171817058096,0.4703296703296703,0.5085299644437214,0.5145575638740101,0.5085677034829577,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,XGBoost,Config_LLM,0.5156695156695157,0.4653337633021606,0.4530612244897959,0.5103160656624548,0.5167313372044234,0.5103637282814038,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,LightGBM,Config_LLM,0.510968660968661,0.4591836734693877,0.4379905808477237,0.5045828887792834,0.5086720059601415,0.5047840779075645,1d,ALL,28110,7020,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Logistic_Regression,Config_Hybrid,0.5259259259259259,0.4780607548327708,0.4891679748822606,0.5227126302876257,0.5311898382861319,0.5228108453290051,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Random_Forest,Config_Hybrid,0.5263532763532763,0.4665071770334928,0.3061224489795918,0.4951592800966792,0.5155269465122324,0.5076896469148285,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,XGBoost,Config_Hybrid,0.5113960113960114,0.4618498909996886,0.4656200941915228,0.5075046904315197,0.5144428229621003,0.5075166963786819,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,LightGBM,Config_Hybrid,0.5250712250712251,0.4768705371002794,0.4822605965463108,0.5214100024611784,0.5374041454913125,0.5214432057047069,1d,ALL,28110,7020,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25
vn30_material,Logistic_Regression,Config_A,0.4905797101449275,0.4943132108486439,0.4876294591484464,0.4905794426483105,0.4897319940204123,0.4906021127517933,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Random_Forest,Config_A,0.5042028985507246,0.5084589357120886,0.4755466052934407,0.5038910303433553,0.5143919537039028,0.5044204989084027,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,XGBoost,Config_A,0.5114492753623189,0.5167144221585482,0.466915995397008,0.5106260560849778,0.5057455479092953,0.5117874369508405,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,LightGBM,Config_A,0.4978260869565217,0.5017182130584192,0.4620253164556962,0.4973010141174342,0.500714344288741,0.4980979386016799,20d,ALL,27660,6900,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Logistic_Regression,Config_LLM,0.4966666666666666,0.5002663825253063,0.8104142692750288,0.4393033216780557,0.5003170522434208,0.4942842374412527,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Random_Forest,Config_LLM,0.483768115942029,0.4868581907090464,0.4582853855005753,0.4835174792657205,0.4772944886430852,0.4839616179839325,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,XGBoost,Config_LLM,0.497536231884058,0.5015055202408832,0.4312428078250863,0.4955312307738538,0.4773424644827549,0.4980396282116086,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,LightGBM,Config_LLM,0.4968115942028985,0.5007347538574578,0.3921173762945915,0.491548690630911,0.4789849858307432,0.4976065853435574,20d,ALL,27660,6900,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Logistic_Regression,Config_Hybrid,0.4914492753623188,0.4952463267070008,0.4945339470655926,0.4914256786247444,0.4911125387167546,0.4914258520374692,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Random_Forest,Config_Hybrid,0.5069565217391304,0.5111378687537628,0.4884925201380897,0.5068487556070854,0.5103987422432057,0.5070967273587645,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,XGBoost,Config_Hybrid,0.504927536231884,0.5091519219035997,0.4801495972382048,0.5047057825763789,0.5078892109310305,0.5051156864695697,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,LightGBM,Config_Hybrid,0.5021739130434782,0.5063565891472869,0.4697928653624856,0.5017594870288979,0.505384426790381,0.5024197971672241,20d,ALL,27660,6900,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29
vn30_material,Logistic_Regression,Config_A,0.5064377682403434,0.4912774338773213,0.5153482880755608,0.5064144931957225,0.521705932752826,0.5067024616391129,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,Random_Forest,Config_A,0.51931330472103,0.5047425474254743,0.4397874852420307,0.5151204849125472,0.5180186528932176,0.5169509330707656,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,XGBoost,Config_A,0.5226037195994278,0.5079167960260789,0.4828807556080283,0.5211811719604125,0.5251308714757051,0.5214237203914656,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,LightGBM,Config_A,0.5220314735336195,0.5075441412520064,0.4666469893742621,0.519700077315372,0.5259861945383878,0.5203862376077307,5d,ALL,28020,6990,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,Logistic_Regression,Config_LLM,0.503862660944206,0.4590163934426229,0.1322314049586777,0.4223336525894057,0.4933607985069294,0.4928230872655687,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,Random_Forest,Config_LLM,0.4992846924177396,0.4834417504435245,0.4825855962219598,0.4987882003699933,0.4946895483750009,0.4987886337578427,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,XGBoost,Config_LLM,0.4995708154506438,0.4834137515078407,0.4731404958677686,0.4987316492184722,0.4948388488751166,0.4987856838028459,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,LightGBM,Config_LLM,0.4992846924177396,0.481283422459893,0.4250295159386068,0.4954421712588682,0.4928972048848632,0.4970788890076155,5d,ALL,28020,6990,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,Logistic_Regression,Config_Hybrid,0.4978540772532189,0.48258138206739,0.4988193624557261,0.4977512840301248,0.5169933796454417,0.4978827517442428,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,Random_Forest,Config_Hybrid,0.5210300429184549,0.5070224719101124,0.4262101534828807,0.5153913360969895,0.5247958057539855,0.5182133499230062,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,XGBoost,Config_Hybrid,0.5155937052932761,0.50032722513089,0.4512987012987013,0.5126199950973996,0.5122571039832915,0.5136837759686177,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
vn30_material,LightGBM,Config_Hybrid,0.523032904148784,0.5090361445783133,0.4489374262101535,0.5193240927808582,0.5251007983233766,0.5208318446986359,5d,ALL,28020,6990,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19
