model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,ticker,lag_days
Random_Forest,Config_LLM,0.4678111587982833,0.4322916666666667,0.8469387755102041,0.43393416927899686,0.5020030234315949,0.5197656840513983,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.5965665236051502,0.5294117647058824,0.3673469387755102,0.5602008032128514,0.6000755857898714,0.5651549508692366,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.592274678111588,0.5789473684210527,0.11224489795918367,0.4579139421546298,0.5911186696900983,0.5264928193499622,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_A,0.5474137931034483,0.0,0.0,0.35376044568245124,0.5201349831271092,0.5,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_A,0.5646551724137931,1.0,0.0380952380952381,0.3944437265796615,0.6782527184101986,0.5190476190476191,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_LLM,0.49137931034482757,0.45038167938931295,0.5619047619047619,0.49122807017543857,0.47761529808773906,0.4974878140232471,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_LLM,0.40948275862068967,0.3933333333333333,0.5619047619047619,0.40362135284735906,0.44476940382452196,0.42268466441694785,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.521551724137931,0.45588235294117646,0.29523809523809524,0.4884691019605506,0.5088113985751781,0.5019497562804649,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.5474137931034483,0.0,0.0,0.35376044568245124,0.5953880764904387,0.5,10d,930,232,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_A,0.5,0.0,0.0,0.3333333333333333,0.4626086956521739,0.5,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_A,0.5478260869565217,0.9230769230769231,0.10434782608695652,0.4371234939759036,0.6225330812854442,0.5478260869565218,20d,922,230,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_LLM,0.46956521739130436,0.475177304964539,0.5826086956521739,0.46269914215686275,0.4649527410207939,0.4695652173913043,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_LLM,0.49130434782608695,0.49295774647887325,0.6086956521739131,0.4841962009545533,0.46034026465028355,0.491304347826087,20d,922,230,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_Hybrid,0.4826086956521739,0.4411764705882353,0.13043478260869565,0.4093528129653208,0.536937618147448,0.4826086956521739,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Random_Forest,Config_Hybrid,0.5043478260869565,1.0,0.008695652173913044,0.34292301523656776,0.6342533081285445,0.5043478260869565,20d,922,230,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,relevant_non_irrelevant_per_ticker,HPG,0
Logistic_Regression,Config_A,0.5512820512820513,0.5087719298245614,0.27358490566037735,0.5057829628884642,0.5502653301886793,0.5274174528301887,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_A,0.5256410256410257,0.4358974358974359,0.16037735849056603,0.44541475392334795,0.4919295400943396,0.494251179245283,1d,937,234,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_LLM,0.44871794871794873,0.4433497536945813,0.8490566037735849,0.3856017585638395,0.4696344339622641,0.48312205188679247,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_LLM,0.4700854700854701,0.4407894736842105,0.6320754716981132,0.46445182724252493,0.45485701650943394,0.4840064858490566,1d,937,234,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_Hybrid,0.45726495726495725,0.44502617801047123,0.8018867924528302,0.4148502569555201,0.4853331367924529,0.4868808962264151,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_Hybrid,0.5470085470085471,0.5,0.2830188679245283,0.5052262028245432,0.5106500589622642,0.5243219339622641,1d,937,234,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_A,0.5879828326180258,0.7272727272727273,0.1509433962264151,0.48298816568047337,0.5719803892437973,0.5518496508691131,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_A,0.5879828326180258,0.5925925925925926,0.3018867924528302,0.5431372549019609,0.584199970286733,0.5643292229980686,5d,934,233,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_LLM,0.4592274678111588,0.45689655172413796,1.0,0.3214219674556213,0.5240677462487,0.5039370078740157,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_LLM,0.47639484978540775,0.46226415094339623,0.9245283018867925,0.39601393846676863,0.5305303818154806,0.513445253305601,5d,934,233,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_Hybrid,0.48497854077253216,0.4681818181818182,0.9716981132075472,0.38737949167397023,0.5470955281533204,0.525219135343931,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_Hybrid,0.592274678111588,0.5544554455445545,0.5283018867924528,0.5871337175685001,0.6106819194770464,0.5869855890655178,5d,934,233,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_A,0.5431034482758621,0.8181818181818182,0.15,0.46216429008835624,0.6078869047619047,0.5571428571428572,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
Random_Forest,Config_A,0.43103448275862066,0.42105263157894735,0.26666666666666666,0.4169966494060311,0.4871279761904762,0.4369047619047619,10d,930,232,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
Logistic_Regression,Config_LLM,0.521551724137931,0.5194805194805194,1.0,0.3507298994024658,0.5840773809523809,0.5044642857142857,10d,930,232,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,relevant_non_irrelevant_per_ticker,SSI,0
