model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,direct_only,lag_days
Random_Forest,Config_A,0.5420289855072464,0.5454545454545454,0.18404907975460122,0.4702417975431504,0.629820333041192,0.523343221195982,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
Logistic_Regression,Config_LLM,0.5,0.42276422764227645,0.15950920245398773,0.4305282774227966,0.47120862266567787,0.48222712869952133,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
Random_Forest,Config_LLM,0.4652173913043478,0.42950819672131146,0.401840490797546,0.46127853514141415,0.4651958470976876,0.461909256387784,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
Logistic_Regression,Config_Hybrid,0.5115942028985507,0.47342995169082125,0.3006134969325153,0.4849274893620792,0.5020562259826064,0.5005814737409829,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
Random_Forest,Config_Hybrid,0.5797101449275363,0.6111111111111112,0.30368098159509205,0.5403127986473572,0.6393093103215803,0.5653020292590845,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_material,False,0
Logistic_Regression,Config_A,0.51994301994302,0.459375,0.47266881028938906,0.514981661175612,0.5269857978141628,0.5151067836613186,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Random_Forest,Config_A,0.5541310541310541,0.4941860465116279,0.2733118971061093,0.5060594411961074,0.5383220532725883,0.5254027516221084,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Logistic_Regression,Config_LLM,0.5256410256410257,0.4236111111111111,0.19614147909967847,0.4586180942345326,0.4974136725849294,0.49193263213295946,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Random_Forest,Config_LLM,0.5128205128205128,0.4507936507936508,0.4565916398713826,0.5070427162298676,0.5138074522413467,0.5070681984523153,1d,2811,702,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Logistic_Regression,Config_Hybrid,0.51994301994302,0.45323741007194246,0.40514469453376206,0.5071734352703449,0.505727748949433,0.5081989457323541,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Random_Forest,Config_Hybrid,0.5085470085470085,0.4044943820224719,0.2315112540192926,0.4587146736397466,0.5107688259142606,0.48020575488688416,1d,2811,702,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_direct_material,True,0
Logistic_Regression,Config_A,0.5236051502145923,0.44155844155844154,0.3333333333333333,0.4965643431374457,0.4896805202148713,0.5025445292620865,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Random_Forest,Config_A,0.5679542203147353,0.5117647058823529,0.28431372549019607,0.5189987057729817,0.5650393321026459,0.5365588983685077,5d,2802,699,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Logistic_Regression,Config_LLM,0.5536480686695279,0.4805194805194805,0.24183006535947713,0.49455826457773244,0.5212251991551498,0.519133862196278,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Random_Forest,Config_LLM,0.5107296137339056,0.4430379746835443,0.45751633986928103,0.504719561109822,0.5224725174208784,0.5048395948710273,5d,2802,699,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Logistic_Regression,Config_Hybrid,0.542203147353362,0.4573170731707317,0.24509803921568626,0.4871606749816581,0.4850238653561509,0.5093174674449933,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Random_Forest,Config_Hybrid,0.5579399141630901,0.49171270718232046,0.2908496732026144,0.5131576871321764,0.5676753313708859,0.5283764905453275,5d,2802,699,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,focused_direct_material,True,0
Logistic_Regression,Config_A,0.46551724137931033,0.37185929648241206,0.23052959501557632,0.4290049400141143,0.4604029075804777,0.4485981308411215,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Random_Forest,Config_A,0.5402298850574713,0.5027027027027027,0.2897196261682243,0.5032075589539522,0.5463966770508827,0.5221931464174455,10d,2790,696,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Logistic_Regression,Config_LLM,0.5301724137931034,0.483695652173913,0.2772585669781931,0.4919084242133345,0.5559376947040499,0.5119626168224299,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Random_Forest,Config_LLM,0.5301724137931034,0.49056603773584906,0.48598130841121495,0.5269999812954754,0.5499480789200415,0.5269906542056074,10d,2790,696,141,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Logistic_Regression,Config_Hybrid,0.5344827586206896,0.4919786096256685,0.2866043613707165,0.4978444436526882,0.5374371754932503,0.5166355140186916,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Random_Forest,Config_Hybrid,0.5617816091954023,0.5449438202247191,0.30218068535825543,0.5236161011833297,0.6039127725856698,0.5430903426791277,10d,2790,696,167,2021-10-13,2025-07-07,2025-07-08,2026-06-12,focused_direct_material,True,0
Logistic_Regression,Config_A,0.5072463768115942,0.4692982456140351,0.3282208588957055,0.4873296562092989,0.5316439695274051,0.49790163823906153,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Random_Forest,Config_A,0.5420289855072464,0.5454545454545454,0.18404907975460122,0.4702417975431504,0.629820333041192,0.523343221195982,20d,2766,690,26,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Logistic_Regression,Config_LLM,0.4811594202898551,0.373015873015873,0.1441717791411043,0.411094369850473,0.4609232791748129,0.4635694060540686,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Random_Forest,Config_LLM,0.4449275362318841,0.4053156146179402,0.37423312883435583,0.4402612834149844,0.428761039573923,0.44123744353805705,20d,2766,690,141,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Logistic_Regression,Config_Hybrid,0.5,0.4527363184079602,0.2791411042944785,0.4704480892307761,0.5038343558282209,0.4884716510483381,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Random_Forest,Config_Hybrid,0.5956521739130435,0.6556291390728477,0.30368098159509205,0.5530621199774337,0.6438136250252816,0.5804119193689745,20d,2766,690,167,2021-10-13,2025-06-25,2025-06-26,2026-05-29,focused_direct_material,True,0
Logistic_Regression,Config_A,0.51994301994302,0.459375,0.47266881028938906,0.514981661175612,0.5269857978141628,0.5151067836613186,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
Random_Forest,Config_A,0.5541310541310541,0.4941860465116279,0.2733118971061093,0.5060594411961074,0.5383220532725883,0.5254027516221084,1d,2811,702,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,focused_material_lag1,False,1
