segment_type,segment_name,n_samples,keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
sector,Banking,425,dự án mới,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,đầu tư mới,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,thắng thầu,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,xuất khẩu tăng,positive,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận giảm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,doanh thu giảm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,thua lỗ,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lỗ ròng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,dưới kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,kết quả tiêu cực,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận thấp hơn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,báo lỗ,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lỗ nặng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lỗ lớn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lỗ kỷ lục,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lỗ lũy kế,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,tụt dốc,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,kinh doanh sa sút,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,âm vốn chủ sở hữu,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,lợi nhuận không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,doanh thu không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,không tăng trưởng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,tăng trưởng chậm lại,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,không hoàn thành kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,không đạt kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,chưa có lãi,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,hủy cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,giảm cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,phát hành pha loãng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,chào bán giá thấp,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,nợ vay tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,áp lực tài chính,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,nợ quá hạn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,hệ số nợ cao,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,thiếu thanh khoản,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,dòng tiền âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,hủy hợp đồng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,dự án trì hoãn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,thu hẹp hoạt động,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,dừng dự án,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,bị phạt,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,bị thanh tra,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,bị kiểm toán từ chối,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,cảnh báo,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,đình chỉ,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,điều tra,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,tranh chấp pháp lý,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,bị kiện,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,họp HĐQT,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,thay đổi lãnh đạo,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,phát hành cổ phiếu mới,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Banking,425,niêm yết thêm,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận tăng,positive,7,0,0.4358974358974359,0.4491396643011202,1.0,fisher_exact,3491.0,0.32514246299581273,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,doanh thu tăng,positive,7,0,0.8376623376623377,1.0,1.0,fisher_exact,3575.0,0.8241728505173516,0.9118508133383464,,,,,,False,False,False,False
sector,Consumer,170,tăng trưởng mạnh,positive,2,0,1.1265822784810127,1.0,1.0,fisher_exact,3604.5,0.9466902796798203,0.9652528341833463,,,,,,False,False,False,False
sector,Consumer,170,vượt kế hoạch,positive,3,0,2.282051282051282,0.6017105066878824,1.0,fisher_exact,3650.0,0.4980256995723461,0.7121857514088983,,,,,,False,False,False,False
sector,Consumer,170,kỷ lục,positive,22,0,0.0,1.0,1.0,chi_square,3548.0,0.7828008500235724,0.8849053087222992,,,,,,False,False,False,False
sector,Consumer,170,tăng trưởng,positive,44,0,0.0,1.0,1.0,chi_square,3591.0,0.97250631315781,0.97250631315781,,,,,,False,False,False,False
sector,Consumer,170,lãi ròng,positive,11,0,0.04083682739343117,0.8398532139437356,1.0,chi_square,3665.5,0.6341532728681409,0.7759191914148279,,,,,,False,False,False,False
sector,Consumer,170,kết quả tích cực,positive,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lãi khủng,positive,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lãi lớn,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lãi đậm,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,báo lãi,positive,27,0,0.8599617974617966,0.3537493825072131,1.0,chi_square,3336.5,0.19687435895427685,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lợi nhuận kỷ lục,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,doanh thu kỷ lục,positive,1,0,0.0,1.0,1.0,fisher_exact,3560.0,0.3518411865497372,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,lãi kỷ lục,positive,10,0,2.780821917808219,0.19306886422233793,1.0,fisher_exact,3796.5,0.1334814555699219,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,bứt phá,positive,6,0,2.3157894736842106,0.42189931803029646,1.0,fisher_exact,3701.0,0.32635240568640944,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,tăng vọt,positive,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,tăng mạnh,positive,8,0,1.9333333333333333,0.47722257861693773,1.0,fisher_exact,3702.5,0.38548237800426166,0.6264088642569252,,,,,,False,False,False,False
sector,Consumer,170,khởi sắc,positive,2,0,1.1265822784810127,1.0,1.0,fisher_exact,3605.5,0.9333907522030012,0.9652528341833463,,,,,,False,False,False,False
sector,Consumer,170,phục hồi,positive,9,0,0.8947368421052632,1.0,1.0,fisher_exact,3587.0,0.9198912599012491,0.9652528341833463,,,,,,False,False,False,False
sector,Consumer,170,lập đỉnh,positive,5,0,1.7142857142857142,0.66706243446771,1.0,fisher_exact,3656.0,0.5538601916644796,0.752940808946625,,,,,,False,False,False,False
sector,Consumer,170,hoàn thành kế hoạch,positive,3,0,2.282051282051282,0.6017105066878824,1.0,fisher_exact,3649.0,0.5067475538871007,0.7121857514088983,,,,,,False,False,False,False
sector,Consumer,170,chia cổ tức,positive,17,0,0.06558641975308642,0.7978748132874031,1.0,chi_square,3684.5,0.6144337288457545,0.7759191914148279,,,,,,False,False,False,False
sector,Consumer,170,cổ tức cao,positive,1,0,inf,0.47058823529411753,1.0,fisher_exact,3645.0,0.29423562602358366,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,mua lại cổ phiếu,positive,15,0,3.475403225806452,0.062287539804194825,1.0,chi_square,3926.0,0.03887061417303913,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,tăng vốn điều lệ,positive,24,0,0.626833222349062,0.42851929360810637,1.0,chi_square,3395.5,0.29283314097149016,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,cổ tức tiền mặt,positive,11,0,0.0,1.0,1.0,chi_square,3584.0,0.9096493013920747,0.9652528341833463,,,,,,False,False,False,False
sector,Consumer,170,giảm nợ,positive,2,0,0.0,0.4987817612252001,1.0,fisher_exact,3520.0,0.18387623341467563,0.5901852161479463,,,,,,False,False,False,False
sector,Consumer,170,trả nợ,positive,2,0,0.0,0.4987817612252001,1.0,fisher_exact,3520.0,0.18387623341467563,0.5901852161479463,,,,,,False,False,False,False
