model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,cutoff
XGBoost,Config_C,0.7018867924528301,0.7188940092165899,0.7306791569086651,0.699817897649876,0.7589985744832501,0.6995787088891152,2023Q4
LightGBM,Config_C,0.6930817610062893,0.7065462753950339,0.7330210772833724,0.6903256704980842,0.7616268709907341,0.6898801038590775,2023Q4
Majority_Class,Config_A,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5,2024Q1
Naive_Momentum,Config_A,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965,2024Q1
Logistic_Regression,Config_A,0.6857541899441341,0.6658097686375322,0.731638418079096,0.6853066941184973,0.7513500015606955,0.6862611979898243,2024Q1
Random_Forest,Config_A,0.6885474860335196,0.6585956416464891,0.768361581920904,0.6869592494927018,0.7628094078721478,0.6894294097449825,2024Q1
XGBoost,Config_A,0.6885474860335196,0.6601466992665037,0.7627118644067796,0.6871996505024027,0.7511002902893529,0.6893669819271467,2024Q1
LightGBM,Config_A,0.696927374301676,0.6658595641646489,0.7768361581920904,0.6953818705825843,0.7659268970253145,0.6978103442894154,2024Q1
Majority_Class,Config_B,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5,2024Q1
Naive_Momentum,Config_B,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965,2024Q1
Logistic_Regression,Config_B,0.49441340782122906,0.4942857142857143,0.9774011299435028,0.3494372659458048,0.5108000124855635,0.49975028872865745,2024Q1
Random_Forest,Config_B,0.48743016759776536,0.4906474820143885,0.963276836158192,0.3459592251230191,0.49722976558354404,0.49268814183600207,2024Q1
XGBoost,Config_B,0.48463687150837986,0.4892086330935252,0.96045197740113,0.3423949702190573,0.4916346724100259,0.4898944969878578,2024Q1
LightGBM,Config_B,0.48324022346368717,0.48833819241982507,0.9463276836158192,0.35017660910518056,0.48876689452820177,0.48835721197365545,2024Q1
Majority_Class,Config_C,0.505586592178771,0.0,0.0,0.3358070500927644,0.5,0.5,2024Q1
Naive_Momentum,Config_C,0.5153631284916201,0.5109717868338558,0.4604519774011299,0.5136088581401587,0.5147563754408965,0.5147563754408965,2024Q1
Logistic_Regression,Config_C,0.696927374301676,0.6760925449871465,0.7429378531073446,0.6964957894387286,0.7562661922152512,0.6974357773824016,2024Q1
Random_Forest,Config_C,0.6941340782122905,0.6642335766423357,0.7711864406779662,0.6926948290560602,0.7653455379717201,0.6949854855323532,2024Q1
XGBoost,Config_C,0.6885474860335196,0.6601466992665037,0.7627118644067796,0.6871996505024027,0.7511002902893529,0.6893669819271467,2024Q1
LightGBM,Config_C,0.696927374301676,0.6658595641646489,0.7768361581920904,0.6953818705825843,0.7659268970253145,0.6978103442894154,2024Q1
Majority_Class,Config_A,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5,2024Q3
Naive_Momentum,Config_A,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034,2024Q3
Logistic_Regression,Config_A,0.7446043165467626,0.7128378378378378,0.7873134328358209,0.7445514313816846,0.8045579394693202,0.746087271973466,2024Q3
Random_Forest,Config_A,0.7032374100719424,0.6655948553054662,0.7723880597014925,0.7027287132177819,0.7914788038971807,0.7056384742951907,2024Q3
XGBoost,Config_A,0.7014388489208633,0.6613924050632911,0.7798507462686567,0.7006797426317974,0.777142931177446,0.7041614842454395,2024Q3
LightGBM,Config_A,0.7194244604316546,0.6707317073170732,0.8208955223880597,0.717964726080849,0.7969656923714759,0.7229477611940298,2024Q3
Majority_Class,Config_B,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5,2024Q3
Naive_Momentum,Config_B,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034,2024Q3
Logistic_Regression,Config_B,0.4784172661870504,0.47962962962962963,0.9664179104477612,0.3435708702449192,0.5044957504145937,0.49536173300165837,2024Q3
Random_Forest,Config_B,0.4748201438848921,0.4777777777777778,0.9626865671641791,0.3390437727983325,0.49784929519071314,0.49175995024875624,2024Q3
XGBoost,Config_B,0.47302158273381295,0.47689463955637706,0.9626865671641791,0.3354138874950536,0.494286380597015,0.49002383913764513,2024Q3
LightGBM,Config_B,0.5287769784172662,0.6875,0.041044776119402986,0.3805198339797238,0.507676461442786,0.5118418325041459,2024Q3
Majority_Class,Config_C,0.48201438848920863,0.48201438848920863,1.0,0.32524271844660196,0.5,0.5,2024Q3
Naive_Momentum,Config_C,0.4856115107913669,0.47096774193548385,0.5447761194029851,0.4848048935370579,0.48766583747927034,0.48766583747927034,2024Q3
Logistic_Regression,Config_C,0.6636690647482014,0.6327868852459017,0.7201492537313433,0.6633543469743919,0.7302938432835823,0.6656301824212272,2024Q3
Random_Forest,Config_C,0.7158273381294964,0.6785714285714286,0.7798507462686567,0.7154591625207296,0.7816192475124377,0.7180503731343284,2024Q3
XGBoost,Config_C,0.7212230215827338,0.6852459016393443,0.7798507462686567,0.7209621592568489,0.7822346600331676,0.7232587064676617,2024Q3
LightGBM,Config_C,0.7194244604316546,0.6707317073170732,0.8208955223880597,0.717964726080849,0.7969656923714759,0.7229477611940298,2024Q3
Majority_Class,Config_A,0.475,0.475,1.0,0.3220338983050847,0.5,0.5,2025Q1
Naive_Momentum,Config_A,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374,2025Q1
Logistic_Regression,Config_A,0.7275,0.7120418848167539,0.7157894736842105,0.7268837815320818,0.7785714285714286,0.7269423558897243,2025Q1
Random_Forest,Config_A,0.735,0.7142857142857143,0.7368421052631579,0.7346749768466372,0.8096365914786967,0.7350877192982456,2025Q1
XGBoost,Config_A,0.73,0.7157894736842105,0.7157894736842105,0.7293233082706767,0.8068170426065163,0.7293233082706767,2025Q1
LightGBM,Config_A,0.76,0.7422680412371134,0.7578947368421053,0.7596153846153846,0.8235087719298245,0.7598997493734336,2025Q1
Majority_Class,Config_B,0.475,0.475,1.0,0.3220338983050847,0.5,0.5,2025Q1
Naive_Momentum,Config_B,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374,2025Q1
Logistic_Regression,Config_B,0.53,0.625,0.02631578947368421,0.36910634585053187,0.492406015037594,0.506015037593985,2025Q1
Random_Forest,Config_B,0.535,0.75,0.031578947368421054,0.3758179804691433,0.5023684210526316,0.5110275689223058,2025Q1
XGBoost,Config_B,0.4675,0.4707379134860051,0.9736842105263158,0.3265407751104647,0.5029323308270677,0.49160401002506265,2025Q1
LightGBM,Config_B,0.5375,0.6666666666666666,0.05263157894736842,0.39331830293092845,0.5093107769423558,0.5144110275689223,2025Q1
Majority_Class,Config_C,0.475,0.475,1.0,0.3220338983050847,0.5,0.5,2025Q1
Naive_Momentum,Config_C,0.4825,0.46255506607929514,0.5526315789473685,0.48156357420590945,0.48583959899749374,0.48583959899749374,2025Q1
Logistic_Regression,Config_C,0.7075,0.6994535519125683,0.6736842105263158,0.7061611969536199,0.7518045112781955,0.7058897243107769,2025Q1
Random_Forest,Config_C,0.7425,0.7253886010362695,0.7368421052631579,0.742034049001008,0.8108145363408523,0.7422305764411028,2025Q1
XGBoost,Config_C,0.7275,0.7055837563451777,0.7315789473684211,0.7272118675350839,0.8090225563909774,0.7276942355889724,2025Q1
LightGBM,Config_C,0.7425,0.7185929648241206,0.7526315789473684,0.7423051182456732,0.8183458646616542,0.7429824561403509,2025Q1
Majority_Class,Config_A,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5,2025Q3
Naive_Momentum,Config_A,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722,2025Q3
Logistic_Regression,Config_A,0.6125,0.46534653465346537,0.5465116279069767,0.5926338267233671,0.6162035638779825,0.5979311386288131,2025Q3
Random_Forest,Config_A,0.6791666666666667,0.5428571428571428,0.6627906976744186,0.665211326292143,0.7237617034128663,0.6755511929930534,2025Q3
XGBoost,Config_A,0.6458333333333334,0.5046728971962616,0.627906976744186,0.6317091224206098,0.7197976442162489,0.641875566294171,2025Q3
LightGBM,Config_A,0.65,0.5098039215686274,0.6046511627906976,0.6327601282424948,0.7097553609181516,0.6399879190576865,2025Q3
Majority_Class,Config_B,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5,2025Q3
Naive_Momentum,Config_B,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722,2025Q3
Logistic_Regression,Config_B,0.6541666666666667,1.0,0.03488372093023256,0.4275697577516595,0.5031334944125642,0.5174418604651163,2025Q3
Random_Forest,Config_B,0.3541666666666667,0.35319148936170214,0.9651162790697675,0.27114559454534765,0.5087964361220175,0.48905164602839024,2025Q3
XGBoost,Config_B,0.3625,0.35864978902953587,0.9883720930232558,0.2758967482400268,0.531674720628209,0.5006795530051343,2025Q3
LightGBM,Config_B,0.6583333333333333,0.75,0.06976744186046512,0.45761217065373166,0.5255964965267289,0.5283902144367261,2025Q3
Majority_Class,Config_C,0.35833333333333334,0.35833333333333334,1.0,0.26380368098159507,0.5,0.5,2025Q3
Naive_Momentum,Config_C,0.4875,0.36496350364963503,0.5813953488372093,0.4849156357418297,0.5082301419510722,0.5082301419510722,2025Q3
Logistic_Regression,Config_C,0.6291666666666667,0.4835164835164835,0.5116279069767442,0.601722884152822,0.6190727876774389,0.6032165508909695,2025Q3
Random_Forest,Config_C,0.6708333333333333,0.5321100917431193,0.6744186046511628,0.6588394062078273,0.7238749622470553,0.6716248867411658,2025Q3
XGBoost,Config_C,0.6625,0.5247524752475248,0.6162790697674418,0.645197203920352,0.7188915735427363,0.6522953790395651,2025Q3
LightGBM,Config_C,0.6541666666666667,0.5148514851485149,0.6046511627906976,0.6364366410541877,0.7115675022651766,0.6432346723044398,2025Q3
