relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
direct,2week,XGBoost,720,0.6953535353535354,0.7121212121212122,0.016767676767676765,32,39,71,0.4095793959270718
direct,month,LightGBM,330,0.652780487804878,0.6599024390243902,0.0071219512195122014,13,14,27,0.8505540192127226
direct,month,Logistic_Regression,330,0.6051707317073171,0.6051707317073171,0.0,1,1,2,0.4999999999999998
direct,month,Random_Forest,330,0.6753170731707316,0.6591219512195122,-0.016195121951219416,11,5,16,0.14346313476562494
direct,month,XGBoost,330,0.6205853658536585,0.6390243902439025,0.01843902439024392,13,18,31,0.3770855874754488
direct,quarter,LightGBM,90,0.7047566976489885,0.7124111536358666,0.007654455986878084,3,3,6,0.6875
direct,quarter,Logistic_Regression,90,0.6394204483324221,0.6394204483324221,0.0,0,0,0,1.0
direct,quarter,Random_Forest,90,0.753143794423182,0.7132312739201749,-0.03991252050300709,7,5,12,0.5810546875
direct,quarter,XGBoost,90,0.6853471842536906,0.693821760524877,0.008474576271186418,2,3,5,0.6875000000000002
direct_indirect,1week,LightGBM,1440,0.696219027255284,0.6876394276365995,-0.008579599618684486,69,51,120,0.10136765353309209
direct_indirect,1week,Logistic_Regression,1440,0.675595317913297,0.6770252511830778,0.0014299332697808032,2,5,7,0.28906249999999994
direct_indirect,1week,Random_Forest,1440,0.6298411103986503,0.6354096825865092,0.005568572187858889,28,38,66,0.22154872964481132
direct_indirect,1week,XGBoost,1440,0.6673192591165865,0.6551825023954125,-0.01213675672117398,104,92,196,0.3926260446804673
direct_indirect,2month,LightGBM,150,0.69896004378763,0.7249589490968802,0.025998905309250198,3,6,9,0.34374999999999994
direct_indirect,2month,Logistic_Regression,150,0.5290093048713739,0.5722495894909688,0.04324028461959495,5,11,16,0.14346313476562494
direct_indirect,2month,Random_Forest,150,0.7162014230979749,0.7118226600985222,-0.004378762999452612,4,4,8,0.7265625000000001
