universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE100_quality,any_relevance,month,XGBoost,1088,0.667442591879891,0.6774096098854941,0.009967018005603179,65,70,135,0.668265852313181
HOSE100_quality,any_relevance,quarter,LightGBM,388,0.7008928571428572,0.6594849896480331,-0.04140786749482406,28,11,39,0.0064265760956914155
HOSE100_quality,any_relevance,quarter,Logistic_Regression,388,0.604684265010352,0.6364518633540373,0.031767598343685255,43,62,105,0.06446359198949392
HOSE100_quality,any_relevance,quarter,Random_Forest,388,0.6961697722567288,0.6925465838509317,-0.0036231884057971175,17,15,32,0.7283324808813629
HOSE100_quality,any_relevance,quarter,XGBoost,388,0.6953286749482401,0.6756599378881987,-0.019668737060041463,20,15,35,0.40503224614076316
HOSE100_quality,direct,1week,LightGBM,4888,0.7109460249491262,0.720461668020559,0.009515643071432822,135,173,308,0.030472334360636854
HOSE100_quality,direct,1week,Logistic_Regression,4888,0.6882435520738569,0.6883802014316049,0.0001366493577480421,2,3,5,0.6875000000000002
HOSE100_quality,direct,1week,Random_Forest,4888,0.6498761038410589,0.648528289752677,-0.0013478140883819156,120,122,242,0.8979459671391152
HOSE100_quality,direct,1week,XGBoost,4888,0.6735175546058172,0.6940177379538977,0.02050018334808046,320,385,705,0.01437511036088264
HOSE100_quality,direct,2month,LightGBM,488,0.6817959781812262,0.6958804852234797,0.014084507042253502,14,18,32,0.486850241664797
HOSE100_quality,direct,2month,Logistic_Regression,488,0.6263127900350077,0.6222828299275421,-0.004029960107465591,55,91,146,0.0028574202527916212
HOSE100_quality,direct,2month,Random_Forest,488,0.6908328584222097,0.6916469917772532,0.0008141333550435448,16,18,34,0.7358788008568808
HOSE100_quality,direct,2month,XGBoost,488,0.6575958642025563,0.6830578848815436,0.025462020678987285,29,38,67,0.2749903961710004
HOSE100_quality,direct,2week,LightGBM,2400,0.7155108765766955,0.7140666246991682,-0.0014442518775273916,71,66,137,0.6705341002455001
HOSE100_quality,direct,2week,Logistic_Regression,2400,0.6806791481115921,0.6874418737192789,0.006762725607686759,71,96,167,0.0534324045812876
HOSE100_quality,direct,2week,Random_Forest,2400,0.687285143246471,0.682681671342675,-0.004603471903796064,77,69,146,0.5095015886349874
HOSE100_quality,direct,2week,XGBoost,2400,0.6956242406343828,0.704643366933238,0.009019126298855262,135,144,279,0.5907577538933597
HOSE100_quality,direct,month,LightGBM,1088,0.6825638224352051,0.6980016304775147,0.015437808042309653,42,57,99,0.1332106192072136
HOSE100_quality,direct,month,Logistic_Regression,1088,0.7217863246802154,0.6404031500494523,-0.08138317463076317,173,75,248,3.107199932314163e-10
HOSE100_quality,direct,month,Random_Forest,1088,0.7028392655402302,0.7089514870865353,0.0061122215463050855,35,43,78,0.36818763383063075
HOSE100_quality,direct,month,XGBoost,1088,0.667442591879891,0.683530107967407,0.01608751608751602,63,88,151,0.042229198541974766
HOSE100_quality,direct,quarter,LightGBM,388,0.7008928571428572,0.681935817805383,-0.01895703933747417,23,14,37,0.14330665429588402
HOSE100_quality,direct,quarter,Logistic_Regression,388,0.604684265010352,0.6273938923395446,0.022709627329192572,8,22,30,0.010673840530216689
HOSE100_quality,direct,quarter,Random_Forest,388,0.6961697722567288,0.725866977225673,0.029697204968944124,8,20,28,0.024119544774293906
HOSE100_quality,direct,quarter,XGBoost,388,0.6953286749482401,0.7017339544513457,0.006405279503105543,18,23,41,0.44079906734259566
HOSE100_quality,direct_indirect,1week,LightGBM,4888,0.7109460249491262,0.7184337203916199,0.007487695442493725,151,188,339,0.044632644834573076
HOSE100_quality,direct_indirect,1week,Logistic_Regression,4888,0.6882435520738569,0.6922437424267458,0.004000190352888899,84,137,221,0.00035289423096502074
HOSE100_quality,direct_indirect,1week,Random_Forest,4888,0.6498761038410589,0.6420251590480666,-0.00785094479299231,121,111,232,0.5124764016401582
HOSE100_quality,direct_indirect,1week,XGBoost,4888,0.6735175546058172,0.6958934699841737,0.02237591537835648,322,377,699,0.0375596587543449
HOSE100_quality,direct_indirect,2month,LightGBM,488,0.6817959781812262,0.6915452251078726,0.009749246926646471,21,22,43,0.880395821280672
HOSE100_quality,direct_indirect,2month,Logistic_Regression,488,0.6263127900350077,0.6195758365220223,-0.006736953512985422,57,94,151,0.0025735692598787122
HOSE100_quality,direct_indirect,2month,Random_Forest,488,0.6908328584222097,0.6844215582512416,-0.006411300170968026,16,13,29,0.584664711728692
HOSE100_quality,direct_indirect,2month,XGBoost,488,0.6575958642025563,0.6809818448261825,0.02338598062362618,29,38,67,0.2749903961710004
HOSE100_quality,direct_indirect,2week,LightGBM,2400,0.7155108765766955,0.7245662710841345,0.009055394507438974,57,82,139,0.03423566187319534
HOSE100_quality,direct_indirect,2week,Logistic_Regression,2400,0.6806791481115921,0.6803902977360866,-0.00028885037550552273,2,1,3,0.6249999999999999
HOSE100_quality,direct_indirect,2week,Random_Forest,2400,0.687285143246471,0.6946903342633539,0.007405191016882862,72,77,149,0.6832317601040967
HOSE100_quality,direct_indirect,2week,XGBoost,2400,0.6956242406343828,0.6911904521350317,-0.004433788499351055,170,161,331,0.6214157258368712
HOSE100_quality,direct_indirect,month,LightGBM,1088,0.6825638224352051,0.6867414037832045,0.004177581347999393,47,46,93,0.9179230673157426
HOSE100_quality,direct_indirect,month,Logistic_Regression,1088,0.7217863246802154,0.6404031500494523,-0.08138317463076317,173,75,248,3.107199932314163e-10
HOSE100_quality,direct_indirect,month,Random_Forest,1088,0.7028392655402302,0.6986596150583289,-0.004179650481901387,45,43,88,0.8322577540225782
HOSE100_quality,direct_indirect,month,XGBoost,1088,0.667442591879891,0.6806271131029973,0.013184521223106316,69,79,148,0.41274255882414224
HOSE100_quality,direct_indirect,quarter,LightGBM,388,0.7008928571428572,0.6864001035196687,-0.01449275362318847,20,12,32,0.16275565745309004
HOSE100_quality,direct_indirect,quarter,Logistic_Regression,388,0.604684265010352,0.6193064182194616,0.014622153209109645,7,18,25,0.028959274291992188
HOSE100_quality,direct_indirect,quarter,Random_Forest,388,0.6961697722567288,0.7204321946169773,0.024262422360248448,10,19,29,0.09873714670538893
HOSE100_quality,direct_indirect,quarter,XGBoost,388,0.6953286749482401,0.6631081780538303,-0.03222049689440987,26,17,43,0.17417114727072652
HOSE100_quality,indirect_only,1week,LightGBM,4888,0.7109460249491262,0.7109460249491262,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,1week,Logistic_Regression,4888,0.6882435520738569,0.7001071402124703,0.011863588138613435,117,188,305,4.576873363057475e-05
HOSE100_quality,indirect_only,1week,Random_Forest,4888,0.6498761038410589,0.6449971991885096,-0.004878904652549254,123,113,236,0.5160563640014026
HOSE100_quality,indirect_only,1week,XGBoost,4888,0.6735175546058172,0.6918500277190276,0.0183324731132104,203,264,467,0.004754142956148239
HOSE100_quality,indirect_only,2month,LightGBM,488,0.6817959781812262,0.6817959781812262,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2month,Logistic_Regression,488,0.6263127900350077,0.6263127900350077,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2month,Random_Forest,488,0.6908328584222097,0.6916469917772532,0.0008141333550435448,14,16,30,0.720100131817162
HOSE100_quality,indirect_only,2month,XGBoost,488,0.6575958642025563,0.6575958642025563,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2week,LightGBM,2400,0.7155108765766955,0.7155108765766955,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,2week,Logistic_Regression,2400,0.6806791481115921,0.7059101636473383,0.025231015535746137,105,186,291,1.8417997193952739e-06
HOSE100_quality,indirect_only,2week,Random_Forest,2400,0.687285143246471,0.6903938468393551,0.0031087035928840656,73,79,152,0.6277709072003701
HOSE100_quality,indirect_only,2week,XGBoost,2400,0.6956242406343828,0.6956242406343828,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,month,LightGBM,1088,0.6825638224352051,0.6825638224352051,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,month,Logistic_Regression,1088,0.7217863246802154,0.7002383642255025,-0.021547960454712967,69,49,118,0.06629133125279556
HOSE100_quality,indirect_only,month,Random_Forest,1088,0.7028392655402302,0.7038055510724321,0.0009662855322019048,33,36,69,0.7202027723528616
HOSE100_quality,indirect_only,month,XGBoost,1088,0.667442591879891,0.667442591879891,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,quarter,LightGBM,388,0.7008928571428572,0.7008928571428572,0.0,0,0,0,1.0
HOSE100_quality,indirect_only,quarter,Logistic_Regression,388,0.604684265010352,0.6091485507246377,0.004464285714285698,0,1,1,0.4999999999999999
HOSE100_quality,indirect_only,quarter,Random_Forest,388,0.6961697722567288,0.7024456521739131,0.006275879917184257,12,14,26,0.7011080384254456
HOSE100_quality,indirect_only,quarter,XGBoost,388,0.6953286749482401,0.6953286749482401,0.0,0,0,0,1.0
