universe,relevance_variant,unit,model,n_test,ba_a,ba_hybrid,delta_hybrid_minus_a,b,c,n_discordant,p_mid
HOSE80,direct_indirect,quarter,LightGBM,240,0.6612001017035343,0.6320874650394102,-0.029112636664124114,11,4,15,0.07681274414062501
HOSE80,direct_indirect,quarter,Logistic_Regression,240,0.6159420289855072,0.6423849478769388,0.026442918891431577,5,17,22,0.010622024536132799
HOSE80,direct_indirect,quarter,Random_Forest,240,0.6509026188660056,0.640605136028477,-0.010297482837528626,12,7,19,0.26317596435546875
HOSE80,direct_indirect,quarter,XGBoost,240,0.6496313246885329,0.63348588863463,-0.01614543605390295,15,8,23,0.15158963203430187
HOSE80,indirect_only,1week,LightGBM,3920,0.7130821607389503,0.7130821607389503,0.0,0,0,0,1.0
HOSE80,indirect_only,1week,Logistic_Regression,3920,0.681427507769337,0.681427507769337,0.0,0,0,0,1.0
HOSE80,indirect_only,1week,Random_Forest,3920,0.6515047695096685,0.6500749956837016,-0.0014297738259668735,83,93,176,0.45235830236368246
HOSE80,indirect_only,1week,XGBoost,3920,0.6959761308701657,0.6959761308701657,0.0,0,0,0,1.0
HOSE80,indirect_only,2month,LightGBM,400,0.6965876752041278,0.6965876752041278,0.0,0,0,0,1.0
HOSE80,indirect_only,2month,Logistic_Regression,400,0.7276922258570706,0.6132742892098194,-0.1144179366472512,84,40,124,7.02891996664168e-05
HOSE80,indirect_only,2month,Random_Forest,400,0.6834490278996782,0.7035293491848187,0.02008032128514048,5,15,20,0.0266036987304687
HOSE80,indirect_only,2month,XGBoost,400,0.7045134179100508,0.7045134179100508,0.0,0,0,0,1.0
HOSE80,indirect_only,2week,LightGBM,1920,0.7250522851348831,0.7250522851348831,0.0,0,0,0,1.0
HOSE80,indirect_only,2week,Logistic_Regression,1920,0.6856608430969733,0.6856608430969733,0.0,0,0,0,1.0
HOSE80,indirect_only,2week,Random_Forest,1920,0.6958711609614909,0.7047196180704834,0.008848457108992513,46,54,100,0.4261600154669938
HOSE80,indirect_only,2week,XGBoost,1920,0.6923094221715429,0.6923094221715429,0.0,0,0,0,1.0
HOSE80,indirect_only,month,LightGBM,880,0.682225052932367,0.682225052932367,0.0,0,0,0,1.0
HOSE80,indirect_only,month,Logistic_Regression,880,0.6290746446789344,0.6290746446789344,0.0,0,0,0,1.0
HOSE80,indirect_only,month,Random_Forest,880,0.6844083337636777,0.6918504237458328,0.00744208998215512,26,30,56,0.5966417603730825
HOSE80,indirect_only,month,XGBoost,880,0.6686720717929298,0.6686720717929298,0.0,0,0,0,1.0
HOSE80,indirect_only,quarter,LightGBM,240,0.6612001017035343,0.6612001017035343,0.0,0,0,0,1.0
HOSE80,indirect_only,quarter,Logistic_Regression,240,0.6159420289855072,0.691584032545131,0.0756420035596238,33,50,83,0.06297225703616972
HOSE80,indirect_only,quarter,Random_Forest,240,0.6509026188660056,0.665395372489194,0.01449275362318836,9,11,20,0.6636238098144531
HOSE80,indirect_only,quarter,XGBoost,240,0.6496313246885329,0.6496313246885329,0.0,0,0,0,1.0
VN30,any_relevance,1week,LightGBM,1440,0.696219027255284,0.7016364385518786,0.005417411296594676,51,59,110,0.4478061321437476
VN30,any_relevance,1week,Logistic_Regression,1440,0.675595317913297,0.6798851177226393,0.004289799809342298,3,12,15,0.021270751953125007
VN30,any_relevance,1week,Random_Forest,1440,0.6298411103986503,0.631096721027699,0.0012556106290486646,26,32,58,0.43499280512215366
VN30,any_relevance,1week,XGBoost,1440,0.6673192591165865,0.6628319749170444,-0.004487284199542141,92,91,183,0.9412590347294773
VN30,any_relevance,2month,LightGBM,150,0.69896004378763,0.7112753147235906,0.012315270935960632,3,4,7,0.7265625000000001
VN30,any_relevance,2month,Logistic_Regression,150,0.5290093048713739,0.5563765736179529,0.02736726874657902,5,9,14,0.3017578125000001
VN30,any_relevance,2month,Random_Forest,150,0.7162014230979749,0.7162014230979749,0.0,5,5,10,0.75390625
VN30,any_relevance,2month,XGBoost,150,0.7205801860974275,0.7090859332238643,-0.011494252873563204,6,4,10,0.5488281250000001
VN30,any_relevance,2week,LightGBM,720,0.7066666666666667,0.7222222222222222,0.015555555555555545,19,26,45,0.30199561318966067
VN30,any_relevance,2week,Logistic_Regression,720,0.6975757575757575,0.6953535353535354,-0.0022222222222221255,27,26,53,0.8919231511047493
VN30,any_relevance,2week,Random_Forest,720,0.6923232323232323,0.7105050505050505,0.018181818181818188,18,30,48,0.08543313315739452
VN30,any_relevance,2week,XGBoost,720,0.6953535353535354,0.6975757575757575,0.0022222222222221255,40,35,75,0.5665734423986843
VN30,any_relevance,month,LightGBM,330,0.652780487804878,0.6472195121951219,-0.0055609756097561025,10,9,19,0.8238029479980469
VN30,any_relevance,month,Logistic_Regression,330,0.6051707317073171,0.6027317073170732,-0.0024390243902439046,2,1,3,0.6249999999999999
VN30,any_relevance,month,Random_Forest,330,0.6753170731707316,0.6615609756097561,-0.013756097560975511,12,7,19,0.26317596435546875
VN30,any_relevance,month,XGBoost,330,0.6205853658536585,0.6214634146341464,0.0008780487804879167,17,18,35,0.8679394004284401
VN30,any_relevance,quarter,LightGBM,90,0.7047566976489885,0.6547293603061782,-0.050027337342810285,7,2,9,0.10937499999999997
VN30,any_relevance,quarter,Logistic_Regression,90,0.6394204483324221,0.6394204483324221,0.0,0,0,0,1.0
VN30,any_relevance,quarter,Random_Forest,90,0.753143794423182,0.7277200656096228,-0.025423728813559254,7,4,11,0.3876953124999999
VN30,any_relevance,quarter,XGBoost,90,0.6853471842536906,0.6615636960087479,-0.023783488244942697,4,3,7,0.7265625000000001
VN30,direct,1week,LightGBM,1440,0.696219027255284,0.6924290336186698,-0.003789993636614142,64,51,115,0.22727494633160913
VN30,direct,1week,Logistic_Regression,1440,0.675595317913297,0.6811638901011559,0.005568572187858889,2,12,14,0.007385253906249995
VN30,direct,1week,Random_Forest,1440,0.6298411103986503,0.637188261137754,0.007347150739103636,29,36,65,0.38905246054779263
VN30,direct,1week,XGBoost,1440,0.6673192591165865,0.6735619601179055,0.006242701001318962,91,94,185,0.8259676274872413
VN30,direct,2month,LightGBM,150,0.69896004378763,0.7090859332238643,0.01012588943623427,4,5,9,0.7539062500000002
VN30,direct,2month,Logistic_Regression,150,0.5290093048713739,0.5448823207443897,0.015873015873015817,0,2,2,0.25
VN30,direct,2month,Random_Forest,150,0.7162014230979749,0.6808976464148877,-0.03530377668308715,5,0,5,0.03125000000000003
VN30,direct,2month,XGBoost,150,0.7205801860974275,0.7090859332238643,-0.011494252873563204,5,3,8,0.5078125000000001
VN30,direct,2week,LightGBM,720,0.7066666666666667,0.7183838383838383,0.011717171717171682,19,27,46,0.24296021728332565
