model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,relevance_variant,unit,threshold,n_samples,n_periods,test_samples,n_features,llm_nonzero_rows,annotations,positive_rate_test
Logistic_Regression,Config_Hybrid,0.7125,0.5321428571428571,0.6622222222222223,0.6843543177847196,0.7462716049382716,0.6987878787878787,any_relevance,2week,0.02,3690,123,720,52,268,291,0.3125
Random_Forest,Config_Hybrid,0.7680555555555556,0.68125,0.48444444444444446,0.7039699636856035,0.7861548821548822,0.6907070707070707,any_relevance,2week,0.02,3690,123,720,52,268,291,0.3125
XGBoost,Config_Hybrid,0.7152777777777778,0.5396825396825397,0.6044444444444445,0.6786770900683791,0.7646509539842874,0.6850505050505051,any_relevance,2week,0.02,3690,123,720,52,268,291,0.3125
LightGBM,Config_Hybrid,0.7430555555555556,0.5793650793650794,0.6488888888888888,0.7100256666470739,0.7844130190796857,0.7173737373737373,any_relevance,2week,0.02,3690,123,720,52,268,291,0.3125
Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,any_relevance,month,0.02,1680,56,330,16,239,291,0.3787878787878788
Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,any_relevance,month,0.02,1680,56,330,16,239,291,0.3787878787878788
XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,any_relevance,month,0.02,1680,56,330,16,239,291,0.3787878787878788
LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,any_relevance,month,0.02,1680,56,330,16,239,291,0.3787878787878788
Logistic_Regression,Config_LLM,0.5666666666666667,0.36764705882352944,0.2,0.47642875370294346,0.4898146341463414,0.4951219512195122,any_relevance,month,0.02,1680,56,330,36,239,291,0.3787878787878788
Random_Forest,Config_LLM,0.5727272727272728,0.34615384615384615,0.144,0.45573218233498264,0.48917073170731706,0.4890731707317073,any_relevance,month,0.02,1680,56,330,36,239,291,0.3787878787878788
XGBoost,Config_LLM,0.5696969696969697,0.33962264150943394,0.144,0.4538206909413026,0.4763512195121951,0.4866341463414634,any_relevance,month,0.02,1680,56,330,36,239,291,0.3787878787878788
LightGBM,Config_LLM,0.5696969696969697,0.37681159420289856,0.208,0.4816601035352418,0.4982439024390243,0.4991219512195122,any_relevance,month,0.02,1680,56,330,36,239,291,0.3787878787878788
Logistic_Regression,Config_Hybrid,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5904390243902439,0.6051707317073171,any_relevance,month,0.02,1680,56,330,52,239,291,0.3787878787878788
Random_Forest,Config_Hybrid,0.693939393939394,0.6111111111111112,0.528,0.6649948236523906,0.7241560975609755,0.6615609756097561,any_relevance,month,0.02,1680,56,330,52,239,291,0.3787878787878788
XGBoost,Config_Hybrid,0.6333333333333333,0.5142857142857142,0.576,0.6185335562455219,0.6754731707317074,0.6221463414634146,any_relevance,month,0.02,1680,56,330,52,239,291,0.3787878787878788
LightGBM,Config_Hybrid,0.6666666666666666,0.5524475524475524,0.632,0.6544699969540055,0.6981073170731706,0.6599024390243902,any_relevance,month,0.02,1680,56,330,52,239,291,0.3787878787878788
Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,any_relevance,2month,0.02,840,28,150,16,209,291,0.42
Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,any_relevance,2month,0.02,840,28,150,16,209,291,0.42
XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,any_relevance,2month,0.02,840,28,150,16,209,291,0.42
LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,any_relevance,2month,0.02,840,28,150,16,209,291,0.42
Logistic_Regression,Config_LLM,0.4266666666666667,0.37362637362637363,0.5396825396825397,0.4262586728340153,0.43769385148695494,0.4422550629447181,any_relevance,2month,0.02,840,28,150,36,209,291,0.42
Random_Forest,Config_LLM,0.44666666666666666,0.38636363636363635,0.5396825396825397,0.44664207298102143,0.4601350118591498,0.4594964422550629,any_relevance,2month,0.02,840,28,150,36,209,291,0.42
XGBoost,Config_LLM,0.46,0.4,0.5714285714285714,0.45978391356542614,0.48704615945995255,0.4753694581280788,any_relevance,2month,0.02,840,28,150,36,209,291,0.42
LightGBM,Config_LLM,0.4066666666666667,0.34146341463414637,0.4444444444444444,0.40600667408231367,0.3892537858055099,0.4118773946360153,any_relevance,2month,0.02,840,28,150,36,209,291,0.42
Logistic_Regression,Config_Hybrid,0.58,0.5,0.5238095238095238,0.5716034271725826,0.6206896551724138,0.5722495894909688,any_relevance,2month,0.02,840,28,150,52,209,291,0.42
Random_Forest,Config_Hybrid,0.7266666666666667,0.6964285714285714,0.6190476190476191,0.7144714239286876,0.7655537310709724,0.7118226600985222,any_relevance,2month,0.02,840,28,150,52,209,291,0.42
XGBoost,Config_Hybrid,0.7133333333333334,0.6515151515151515,0.6825396825396826,0.7076023391812865,0.7748586024448093,0.7090859332238643,any_relevance,2month,0.02,840,28,150,52,209,291,0.42
LightGBM,Config_Hybrid,0.7266666666666667,0.6617647058823529,0.7142857142857143,0.7222096752337503,0.7914614121510672,0.7249589490968802,any_relevance,2month,0.02,840,28,150,52,209,291,0.42
Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,any_relevance,quarter,0.02,540,18,90,16,175,291,0.34444444444444444
Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,any_relevance,quarter,0.02,540,18,90,16,175,291,0.34444444444444444
XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,any_relevance,quarter,0.02,540,18,90,16,175,291,0.34444444444444444
LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,any_relevance,quarter,0.02,540,18,90,16,175,291,0.34444444444444444
Logistic_Regression,Config_LLM,0.5333333333333333,0.3829787234042553,0.5806451612903226,0.5248868778280543,0.537452159650082,0.5445598687807545,any_relevance,quarter,0.02,540,18,90,36,175,291,0.34444444444444444
Random_Forest,Config_LLM,0.5222222222222223,0.375,0.5806451612903226,0.5149768141371098,0.519409513395298,0.536085292509568,any_relevance,quarter,0.02,540,18,90,36,175,291,0.34444444444444444
XGBoost,Config_LLM,0.4777777777777778,0.32608695652173914,0.4838709677419355,0.46664985499936956,0.4669218151995626,0.4792236194641881,any_relevance,quarter,0.02,540,18,90,36,175,291,0.34444444444444444
LightGBM,Config_LLM,0.5222222222222223,0.38,0.6129032258064516,0.5173961840628507,0.5062875888463642,0.5437397484964461,any_relevance,quarter,0.02,540,18,90,36,175,291,0.34444444444444444
Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5357142857142857,0.4838709677419355,0.6344025773917916,0.6364133406232914,0.6317659923455441,any_relevance,quarter,0.02,540,18,90,52,175,291,0.34444444444444444
Random_Forest,Config_Hybrid,0.7333333333333333,0.6060606060606061,0.6451612903225806,0.709051724137931,0.7963367960634226,0.7124111536358666,any_relevance,quarter,0.02,540,18,90,52,175,291,0.34444444444444444
XGBoost,Config_Hybrid,0.6888888888888889,0.5365853658536586,0.7096774193548387,0.6759259259259259,0.8053581191908146,0.693821760524877,any_relevance,quarter,0.02,540,18,90,52,175,291,0.34444444444444444
LightGBM,Config_Hybrid,0.7333333333333333,0.6060606060606061,0.6451612903225806,0.709051724137931,0.7873154729360307,0.7124111536358666,any_relevance,quarter,0.02,540,18,90,52,175,291,0.34444444444444444
Logistic_Regression,Config_A,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338105466416682,0.675595317913297,indirect_only,1week,0.02,7320,244,1440,16,9,9,0.27152777777777776
Random_Forest,Config_A,0.7680555555555556,0.6432160804020101,0.3273657289002558,0.6440233883502331,0.7613620571534454,0.6298411103986503,indirect_only,1week,0.02,7320,244,1440,16,9,9,0.27152777777777776
XGBoost,Config_A,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,indirect_only,1week,0.02,7320,244,1440,16,9,9,0.27152777777777776
LightGBM,Config_A,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,indirect_only,1week,0.02,7320,244,1440,16,9,9,0.27152777777777776
Logistic_Regression,Config_LLM,0.7270833333333333,0.375,0.0076726342710997444,0.4283168622887327,0.5000024380788913,0.5014530950192486,indirect_only,1week,0.02,7320,244,1440,36,9,9,0.27152777777777776
Random_Forest,Config_LLM,0.7270833333333333,0.375,0.0076726342710997444,0.4283168622887327,0.5,0.5014530950192486,indirect_only,1week,0.02,7320,244,1440,36,9,9,0.27152777777777776
XGBoost,Config_LLM,0.7284722222222222,0.0,0.0,0.42145439935717155,0.5,0.5,indirect_only,1week,0.02,7320,244,1440,36,9,9,0.27152777777777776
LightGBM,Config_LLM,0.7284722222222222,0.0,0.0,0.42145439935717155,0.5,0.5,indirect_only,1week,0.02,7320,244,1440,36,9,9,0.27152777777777776
Logistic_Regression,Config_Hybrid,0.6909722222222222,0.45143884892086333,0.6419437340153452,0.6499414657116901,0.7338202989572337,0.675595317913297,indirect_only,1week,0.02,7320,244,1440,52,9,9,0.27152777777777776
Random_Forest,Config_Hybrid,0.7798611111111111,0.6831683168316832,0.35294117647058826,0.663410242362617,0.7738742780238882,0.6459653451466383,indirect_only,1week,0.02,7320,244,1440,52,9,9,0.27152777777777776
XGBoost,Config_Hybrid,0.7291666666666666,0.5012048192771085,0.5319693094629157,0.6640433010856379,0.7502895218683487,0.6673192591165865,indirect_only,1week,0.02,7320,244,1440,52,9,9,0.27152777777777776
LightGBM,Config_Hybrid,0.7256944444444444,0.4959839357429719,0.6317135549872123,0.6786438862394837,0.7712106768350809,0.696219027255284,indirect_only,1week,0.02,7320,244,1440,52,9,9,0.27152777777777776
Logistic_Regression,Config_A,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462805836139169,0.6975757575757575,indirect_only,2week,0.02,3690,123,720,16,9,9,0.3125
Random_Forest,Config_A,0.7736111111111111,0.7039473684210527,0.47555555555555556,0.707149826201307,0.7851447811447811,0.6923232323232323,indirect_only,2week,0.02,3690,123,720,16,9,9,0.3125
XGBoost,Config_A,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,indirect_only,2week,0.02,3690,123,720,16,9,9,0.3125
LightGBM,Config_A,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,indirect_only,2week,0.02,3690,123,720,16,9,9,0.3125
Logistic_Regression,Config_LLM,0.30694444444444446,0.3053977272727273,0.9555555555555556,0.24317332990674484,0.48389225589225593,0.48383838383838385,indirect_only,2week,0.02,3690,123,720,36,9,9,0.3125
Random_Forest,Config_LLM,0.6875,0.0,0.0,0.4074074074074074,0.4838563411896745,0.5,indirect_only,2week,0.02,3690,123,720,36,9,9,0.3125
XGBoost,Config_LLM,0.6875,0.0,0.0,0.4074074074074074,0.5,0.5,indirect_only,2week,0.02,3690,123,720,36,9,9,0.3125
LightGBM,Config_LLM,0.6875,0.0,0.0,0.4074074074074074,0.5,0.5,indirect_only,2week,0.02,3690,123,720,36,9,9,0.3125
Logistic_Regression,Config_Hybrid,0.7125,0.5323741007194245,0.6577777777777778,0.6837756810259044,0.7462536475869809,0.6975757575757575,indirect_only,2week,0.02,3690,123,720,52,9,9,0.3125
Random_Forest,Config_Hybrid,0.7555555555555555,0.6540880503144654,0.4622222222222222,0.6875,0.791016835016835,0.6755555555555555,indirect_only,2week,0.02,3690,123,720,52,9,9,0.3125
XGBoost,Config_Hybrid,0.7361111111111112,0.5764192139737991,0.5866666666666667,0.6944000142970753,0.7686644219977553,0.6953535353535354,indirect_only,2week,0.02,3690,123,720,52,9,9,0.3125
LightGBM,Config_Hybrid,0.7333333333333333,0.5652173913043478,0.6355555555555555,0.6993710801242181,0.7716184062850728,0.7066666666666667,indirect_only,2week,0.02,3690,123,720,52,9,9,0.3125
Logistic_Regression,Config_A,0.6393939393939394,0.5272727272727272,0.464,0.6068085106382979,0.5912975609756098,0.6051707317073171,indirect_only,month,0.02,1680,56,330,16,9,9,0.3787878787878788
Random_Forest,Config_A,0.7090909090909091,0.638095238095238,0.536,0.6796764408493428,0.7251121951219511,0.6753170731707316,indirect_only,month,0.02,1680,56,330,16,9,9,0.3787878787878788
XGBoost,Config_A,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,indirect_only,month,0.02,1680,56,330,16,9,9,0.3787878787878788
LightGBM,Config_A,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,indirect_only,month,0.02,1680,56,330,16,9,9,0.3787878787878788
Logistic_Regression,Config_LLM,0.6060606060606061,0.14285714285714285,0.008,0.38446969696969696,0.4835512195121951,0.4893658536585366,indirect_only,month,0.02,1680,56,330,36,9,9,0.3787878787878788
Random_Forest,Config_LLM,0.3787878787878788,0.37577639751552794,0.968,0.2894728550272552,0.4835512195121951,0.4937560975609756,indirect_only,month,0.02,1680,56,330,36,9,9,0.3787878787878788
XGBoost,Config_LLM,0.6212121212121212,0.0,0.0,0.38317757009345793,0.5,0.5,indirect_only,month,0.02,1680,56,330,36,9,9,0.3787878787878788
LightGBM,Config_LLM,0.6212121212121212,0.0,0.0,0.38317757009345793,0.5,0.5,indirect_only,month,0.02,1680,56,330,36,9,9,0.3787878787878788
Logistic_Regression,Config_Hybrid,0.6484848484848484,0.5333333333333333,0.576,0.6319230769230769,0.6888585365853659,0.634341463414634,indirect_only,month,0.02,1680,56,330,52,9,9,0.3787878787878788
Random_Forest,Config_Hybrid,0.693939393939394,0.6071428571428571,0.544,0.6675344884340306,0.7160585365853658,0.6646829268292683,indirect_only,month,0.02,1680,56,330,52,9,9,0.3787878787878788
XGBoost,Config_Hybrid,0.6333333333333333,0.5144927536231884,0.568,0.6175690300830372,0.6752780487804878,0.6205853658536585,indirect_only,month,0.02,1680,56,330,52,9,9,0.3787878787878788
LightGBM,Config_Hybrid,0.6636363636363637,0.5507246376811594,0.608,0.6491748953654308,0.6893658536585365,0.652780487804878,indirect_only,month,0.02,1680,56,330,52,9,9,0.3787878787878788
Logistic_Regression,Config_A,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5931399379675241,0.5290093048713739,indirect_only,2month,0.02,840,28,150,16,8,9,0.42
Random_Forest,Config_A,0.7266666666666667,0.6833333333333333,0.6507936507936508,0.7175141242937852,0.7850757161101988,0.7162014230979749,indirect_only,2month,0.02,840,28,150,16,8,9,0.42
XGBoost,Config_A,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,indirect_only,2month,0.02,840,28,150,16,8,9,0.42
LightGBM,Config_A,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,indirect_only,2month,0.02,840,28,150,16,8,9,0.42
Logistic_Regression,Config_LLM,0.54,0.0,0.0,0.35064935064935066,0.43960956029921544,0.46551724137931033,indirect_only,2month,0.02,840,28,150,36,8,9,0.42
Random_Forest,Config_LLM,0.4,0.40559440559440557,0.9206349206349206,0.30282999380293324,0.43997445721583645,0.4718117131910235,indirect_only,2month,0.02,840,28,150,36,8,9,0.42
XGBoost,Config_LLM,0.58,0.0,0.0,0.3670886075949367,0.5,0.5,indirect_only,2month,0.02,840,28,150,36,8,9,0.42
LightGBM,Config_LLM,0.58,0.0,0.0,0.3670886075949367,0.5,0.5,indirect_only,2month,0.02,840,28,150,36,8,9,0.42
Logistic_Regression,Config_Hybrid,0.54,0.453125,0.4603174603174603,0.5289244913749943,0.5929574895092137,0.5290093048713739,indirect_only,2month,0.02,840,28,150,52,8,9,0.42
Random_Forest,Config_Hybrid,0.7333333333333333,0.6885245901639344,0.6666666666666666,0.7250733137829912,0.7690202517788725,0.7241379310344828,indirect_only,2month,0.02,840,28,150,52,8,9,0.42
XGBoost,Config_Hybrid,0.7266666666666667,0.671875,0.6825396825396826,0.7200855673387647,0.7927385513592411,0.7205801860974275,indirect_only,2month,0.02,840,28,150,52,8,9,0.42
LightGBM,Config_Hybrid,0.7066666666666667,0.6507936507936508,0.6507936507936508,0.69896004378763,0.786170406860062,0.69896004378763,indirect_only,2month,0.02,840,28,150,52,8,9,0.42
Logistic_Regression,Config_A,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,indirect_only,quarter,0.02,540,18,90,16,7,9,0.34444444444444444
Random_Forest,Config_A,0.7666666666666667,0.6470588235294118,0.7096774193548387,0.7471571906354515,0.7867687260798251,0.753143794423182,indirect_only,quarter,0.02,540,18,90,16,7,9,0.34444444444444444
XGBoost,Config_A,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,indirect_only,quarter,0.02,540,18,90,16,7,9,0.34444444444444444
LightGBM,Config_A,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,indirect_only,quarter,0.02,540,18,90,16,7,9,0.34444444444444444
Logistic_Regression,Config_LLM,0.6333333333333333,0.3333333333333333,0.06451612903225806,0.4386694386694387,0.5136686714051394,0.4983597594313832,indirect_only,quarter,0.02,540,18,90,36,7,9,0.34444444444444444
Random_Forest,Config_LLM,0.6222222222222222,0.2,0.03225806451612903,0.4097222222222222,0.48578458173865496,0.4822307271733187,indirect_only,quarter,0.02,540,18,90,36,7,9,0.34444444444444444
XGBoost,Config_LLM,0.6555555555555556,0.0,0.0,0.3959731543624161,0.5,0.5,indirect_only,quarter,0.02,540,18,90,36,7,9,0.34444444444444444
LightGBM,Config_LLM,0.6555555555555556,0.0,0.0,0.3959731543624161,0.5,0.5,indirect_only,quarter,0.02,540,18,90,36,7,9,0.34444444444444444
Logistic_Regression,Config_Hybrid,0.6777777777777778,0.5333333333333333,0.5161290322580645,0.6404463424714149,0.6101694915254237,0.6394204483324221,indirect_only,quarter,0.02,540,18,90,52,7,9,0.34444444444444444
Random_Forest,Config_Hybrid,0.7,0.5526315789473685,0.6774193548387096,0.6827262044653349,0.764898851831602,0.6946418808091853,indirect_only,quarter,0.02,540,18,90,52,7,9,0.34444444444444444
XGBoost,Config_Hybrid,0.6777777777777778,0.5238095238095238,0.7096774193548387,0.6658558443221099,0.7441224712957901,0.6853471842536906,indirect_only,quarter,0.02,540,18,90,52,7,9,0.34444444444444444
LightGBM,Config_Hybrid,0.7333333333333333,0.6129032258064516,0.6129032258064516,0.7047566976489885,0.7813012575177694,0.7047566976489885,indirect_only,quarter,0.02,540,18,90,52,7,9,0.34444444444444444
