variant,horizon,model,Config_A,Config_Hybrid,Config_LLM,delta_hybrid_minus_A,delta_llm_minus_A
direct_only,20d,Random_Forest,0.502545676936014,0.4972937848788319,0.4506689091048085,-0.005251892057182128,-0.05187676783120554
relevant_lag1,5d,Logistic_Regression,0.48532354501181346,0.47987788707266504,0.5042628019673079,-0.005445657939148418,0.01893925695549442
relevant_non_irrelevant,20d,Random_Forest,0.502545676936014,0.49663634278724866,0.4651249904441557,-0.005909334148765377,-0.03742068649185837
material_lag1,20d,Logistic_Regression,0.5096475804602094,0.5011696353489794,0.5065973549422826,-0.008477945111230012,-0.0030502255179267745
direct_only,1d,Random_Forest,0.5099869155384656,0.4987983657774573,0.48090736735293327,-0.01118854976100836,-0.029079548185532378
direct_material_lag1,5d,Logistic_Regression,0.48532354501181346,0.4731378682675153,0.4991606996480062,-0.012185676744298157,0.013837154636192728
direct_lag1,1d,Logistic_Regression,0.5150471307645064,0.5018692087906219,0.4968490480386659,-0.013177921973884454,-0.018198082725840448
direct_lag1,5d,Logistic_Regression,0.48532354501181346,0.4713794059501422,0.47000669029364966,-0.013944139061671246,-0.015316854718163797
direct_lag1,10d,Logistic_Regression,0.4527300303336704,0.4371659685107612,0.455781453127257,-0.015564061822909148,0.003051422793586611
material_events_only,20d,Logistic_Regression,0.5096475804602094,0.49376958948092653,0.5192187141655836,-0.015877990979282885,0.009571133705374213
relevant_lag1,10d,Logistic_Regression,0.4527300303336704,0.4363715152390582,0.4704848572391545,-0.01635851509461217,0.017754826905484133
relevant_lag1,10d,Random_Forest,0.490520728008089,0.4738673022292841,0.4916221291347681,-0.01665342577880491,0.0011014011266791135
relevant_lag1,5d,Random_Forest,0.5148874101933555,0.49773223154443325,0.48648530546313706,-0.017155178648922242,-0.028402104730218425
relevant_non_irrelevant,5d,Random_Forest,0.5148874101933555,0.4972274458749216,0.502319000433965,-0.017659964318433863,-0.012568409759390442
relevant_non_irrelevant,5d,Logistic_Regression,0.48532354501181346,0.46430487246251023,0.48901978157095327,-0.02101867254930323,0.0036962365591398094
direct_only,10d,Random_Forest,0.490520728008089,0.46944966055178394,0.4846405700804083,-0.021071067456305048,-0.005880157927680707
relevant_lag1,1d,Logistic_Regression,0.5150471307645064,0.49289700659563673,0.5061416860263291,-0.022150124168869634,-0.008905444738177226
relevant_non_irrelevant,10d,Random_Forest,0.490520728008089,0.46806538591169533,0.4960758823246184,-0.02245534209639366,0.00555515431652942
material_lag1,5d,Logistic_Regression,0.48532354501181346,0.4598928950286899,0.5177910579102174,-0.025430649983123554,0.03246751289840394
direct_material_only,20d,Logistic_Regression,0.5096475804602094,0.48341105420074915,0.552029661340876,-0.02623652625946027,0.04238208088066664
direct_only,5d,Random_Forest,0.5148874101933555,0.4878941848690872,0.46727934085539324,-0.02699322532426829,-0.047608069337962244
material_events_only,5d,Logistic_Regression,0.48532354501181346,0.4582067602102319,0.5185730989922368,-0.027116784801581584,0.03324955398042334
direct_material_only,5d,Logistic_Regression,0.48532354501181346,0.4578601909445972,0.4966925237475288,-0.027463354067216283,0.011368978735715352
direct_only,5d,Logistic_Regression,0.48532354501181346,0.4562237812816433,0.47170940016394236,-0.029099763730170147,-0.013614144847871101
direct_lag1,10d,Random_Forest,0.490520728008089,0.4612643844190861,0.4627329192546584,-0.029256343589002864,-0.027787808753430565
direct_material_lag1,20d,Logistic_Regression,0.5096475804602094,0.47081262900389875,0.5499808883112912,-0.03883495145631066,0.0403333078510818
direct_lag1,5d,Random_Forest,0.5148874101933555,0.47463263657842714,0.4760219272867544,-0.04025477361492835,-0.03886548290660108
direct_only,20d,Logistic_Regression,0.5096475804602094,0.4647886247228805,0.44896414647198224,-0.0448589557373289,-0.060683433988227176
direct_lag1,20d,Logistic_Regression,0.5096475804602094,0.4619295160920419,0.4525342099227888,-0.0477180643681675,-0.057113370537420605
relevant_non_irrelevant,20d,Logistic_Regression,0.5096475804602094,0.4562036541548811,0.45599724791682594,-0.05344392630532829,-0.05365033254338347
relevant_lag1,20d,Logistic_Regression,0.5096475804602094,0.45528629309685803,0.4434523354483602,-0.054361287363351385,-0.0661952450118492
