keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any
chào bán giá thấp,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
nợ vay tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
áp lực tài chính,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
nợ quá hạn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
hệ số nợ cao,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
thiếu thanh khoản,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
dòng tiền âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
hủy hợp đồng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
dự án trì hoãn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
thu hẹp hoạt động,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
dừng dự án,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
bị thanh tra,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
điều tra,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
tranh chấp pháp lý,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
bị kiện,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False
họp HĐQT,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
thay đổi lãnh đạo,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
phát hành cổ phiếu mới,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False
