model,config,accuracy,precision,recall,f1_macro,auc_roc,balanced_accuracy,horizon,n_train,n_test,n_features,train_start,train_end,test_start,test_end,variant,lag_days
Logistic_Regression,Config_A,0.5196581196581197,0.45454545454545453,0.4775828460038986,0.5147220319769501,0.5332348289970656,0.5150471307645064,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Random_Forest,Config_A,0.5307692307692308,0.4533678756476684,0.341130604288499,0.5041680207555778,0.5133233048798217,0.5099869155384656,1d,4685,1170,26,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Logistic_Regression,Config_LLM,0.5188034188034188,0.4487704918032787,0.4269005847953216,0.50854970272446,0.49913215306149694,0.5087318753504766,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Random_Forest,Config_LLM,0.4888888888888889,0.43044189852700493,0.5126705653021443,0.4880976072298183,0.49619334146290817,0.49149510000267027,1d,4685,1170,141,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Logistic_Regression,Config_Hybrid,0.5299145299145299,0.471841704718417,0.6042884990253411,0.5299145299145299,0.5343148162983138,0.5380651018718791,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Random_Forest,Config_Hybrid,0.5358974358974359,0.4690082644628099,0.442495126705653,0.5255237043968839,0.5238902685429963,0.5256615663969665,1d,4685,1170,167,2021-10-13,2025-07-16,2025-07-17,2026-06-25,material_events_only,0
Logistic_Regression,Config_A,0.49871244635193135,0.4083333333333333,0.3951612903225806,0.48516236046201905,0.47009559284439945,0.48532354501181346,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Random_Forest,Config_A,0.5218884120171674,0.4419047619047619,0.46774193548387094,0.5144703772346798,0.5294327715897584,0.5148874101933555,5d,4670,1165,26,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Logistic_Regression,Config_LLM,0.5339055793991416,0.44880174291938996,0.4153225806451613,0.5182522608281771,0.5241393027629104,0.5185730989922368,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Random_Forest,Config_LLM,0.5141630901287554,0.4454828660436137,0.5766129032258065,0.5139019945506659,0.5192225396595787,0.5222376922706014,5d,4670,1165,141,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Logistic_Regression,Config_Hybrid,0.4472103004291845,0.3905325443786982,0.532258064516129,0.4471903422990091,0.47426647861516946,0.4582067602102319,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Random_Forest,Config_Hybrid,0.544206008583691,0.4681238615664845,0.5181451612903226,0.5393182283618491,0.5352596557211051,0.5408364072520373,5d,4670,1165,167,2021-10-13,2025-07-11,2025-07-14,2026-06-19,material_events_only,0
Logistic_Regression,Config_A,0.4603448275862069,0.391304347826087,0.38372093023255816,0.4525975533637479,0.4448757763975155,0.4527300303336704,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
Random_Forest,Config_A,0.4939655172413793,0.43486238532110094,0.45930232558139533,0.4902526502864577,0.5141797871828206,0.490520728008089,10d,4650,1160,26,2021-10-13,2025-07-07,2025-07-08,2026-06-12,material_events_only,0
