keyword,direction,n_occurrences,n_excluded,chi_statistic,chi_p_raw,chi_p_adj,chi_test_used,mw_statistic,mw_p_raw,mw_p_adj,logit_coef,logit_ci_lower,logit_ci_upper,logit_p_raw,logit_p_adj,significant_chi,significant_mw,significant_logit,significant_any,subgroup,subgroup_n
âm vốn chủ sở hữu,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
lợi nhuận không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
doanh thu không tăng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
không tăng trưởng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
tăng trưởng chậm lại,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
không hoàn thành kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
không đạt kế hoạch,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
chưa có lãi,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
hủy cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
giảm cổ tức,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
phát hành pha loãng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
chào bán giá thấp,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
áp lực tài chính,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
nợ quá hạn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
hệ số nợ cao,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
thiếu thanh khoản,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
dòng tiền âm,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
hủy hợp đồng,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
dự án trì hoãn,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
thu hẹp hoạt động,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
dừng dự án,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
tranh chấp pháp lý,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
bị kiện,negative,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
thay đổi lãnh đạo,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
phát hành cổ phiếu mới,neutral,0,1,,,,excluded,,,,,,,,,False,False,False,False,news_count>=15,636
